STT	BaiToan	Code_C	"?? BÀI T?P 1
Vi?t ch??ng trình tính th? tích hình chóp c?t ??u có di?n tích ?áy l?n S, di?n tích ?áy nh? s và chi?u cao h. Th? tích hình chóp c?t ??u ???c xác ??nh b?i công th?c:
V=13?h?(S+Ss+s)V = \frac{1}{3} * h * (S + \sqrt{Ss} + s)V=31?h?(S+Ss+s) 
(di?n gi?i công th?c: m?t ph?n ba * chi?u cao h * t?ng di?n tích ?áy l?n, di?n tích ?áy nh? và c?n b?c hai tích di?n tích ?áy l?n và ?áy nh?)
________________________________________
Mô t? d? li?u testcase:
•	Input: G?m T+1 dòng; dòng ??u tiên là s? l??ng testcase T; T dòng ti?p theo, m?i dòng g?m giá tr? th?c S, s và h t??ng ?ng d? li?u c?a m?t testcase.
•	Output: K?t qu? c?a m?i testcase trên m?t hàng, in 02 ch? s? sau d?u ph?y. N?u không tính ???c thì in ra ND.
Minh h?a d? li?u testcase:
Input:
1
2.0 2.0 1.5
Output:
3.00
? Code C:
#include <stdio.h>
#include <math.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        double S, s, h;
        if (scanf(""%lf %lf %lf"", &S, &s, &h) != 3 || S < 0 || s < 0 || h < 0) {
            printf(""ND\n"");
            continue;
        }
        double V = (1.0 / 3.0) * h * (S + sqrt(S * s) + s);
        printf(""%.2lf\n"", V);
  }
    return 0;
}
________________________________________
?? BÀI T?P 2
Cho m?t ma tr?n các s? nguyên A kích th??c m×n. Ng??i ta th?c hi?n duy?t các hàng và c?t ngoài cùng t? m?t v? trí cho tr??c theo m?t chi?u nh?t ??nh. D?c theo ???ng duy?t, li?t kê t?t c? các s? nguyên t? theo th? t? duy?t.
V? trí ban ??u t?i góc trên bên ph?i (hàng 0, c?t n?1) và duy?t theo chi?u ng??c chi?u kim ??ng h?.
Mô t? d? li?u testcase:
•	Input: Dòng ??u tiên là s? l??ng b? testcase T; T*(m+1) dòng ti?p theo là d? li?u các b? testcase; m?i b? testcase g?m m+1 hàng, trong ?ó hàng ??u tiên là giá tr? m và n, m hàng ti?p theo, m?i hàng g?m n ph?n t? t??ng ?ng v?i hàng c?a ma tr?n.
•	Output: K?t qu? m?i testcase trên m?t hàng.
Minh h?a d? li?u testcase:
Input:
1
3 3
1 2 3
4 5 6
7 8 9
Output:
327
? Code C:
#include <stdio.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        int m, n;
        scanf(""%d %d"", &m, &n);
        int A[100][100]; 
        for (int i = 0; i < m; ++i)
            for (int j = 0; j < n; ++j)
                scanf(""%d"", &A[i][j]);
        for (int i = 0; i < m; ++i)
            printf(""%d"", A[i][n - 1]);
        for (int j = n - 2; j >= 0; --j)
            printf(""%d"", A[m - 1][j]);
        for (int j = 1; j < n - 1; ++j)
            printf(""%d"", A[0][j]);
        printf(""\n"");
    }
    return 0;
}
?? BÀI T?P 3
Tính di?n tích hình ch? nh?t
Yêu c?u:
1.	Vi?t ch??ng trình tính di?n tích hình ch? nh?t v?i các c?nh a, b.
2.	Ch??ng trình c?n x? lý nhi?u test case.
3.	Input:
o	Dòng ??u tiên là s? M - s? l??ng test case.
o	M dòng ti?p theo, m?i dòng ch?a hai giá tr? a, b.
4.	Output:
o	K?t qu? c?a m?i test case trên m?t dòng. N?u không tính ???c (a ho?c b âm) thì in ""MD"".
5.	Ví d?:
o	Input:
2
1 1
2 3
o	Output:
1.00
6.00
? Code C:
#include <stdio.h>

int main(void) {
    int t;
    scanf(""%d"", &t);
    while (t--) {
        float a, b;
        scanf(""%f %f"", &a, &b);
        if (a < 0 || b < 0) {
            printf(""MD\n"");
        }
        else {
            printf(""%.2f\n"", a * b);
        }
    }
    return 0;
}
"									
11	Tính l?y th?a:a^b (không ???c s? d?ng hàm th? vi?n mà ph?i s? d?ng vòng l?p).	"#include <stdio.h>

int main() {
    int a, b;
    long long result = 1;
    scanf(""%d %d"", &a, &b);
    for (int i = 0; i < b; i++) {
        result *= a;
    }
    printf(""%d^%d = %lld\n"", a, b, result);
    return 0;
}"										
12	Ki?m tra s? hoàn h?o (Perfect number).	"#include <stdio.h>

int main() {
    int n, sum = 0;
    scanf(""%d"", &n);
    for (int i = 1; i < n; i++) {
        if (n % i == 0) {
            sum += i;
        }
    }
    printf(sum == n ? ""%d là s? hoàn h?o.\n"" : ""%d không là s? hoàn h?o.\n"", n);
    return 0;
}"										
13	Tính t?ng các ch? s? ch?n c?a m?t s?.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    int sum = 0;
    int temp = n < 0 ? -n : n;
    while (temp > 0) {
        sum += temp % 10;
        temp /= 10;
    }
    printf(""Tong cac chu so: %d\n"", sum);
    return 0;
}
"										
14	Tính t?ng các ch? s? l? c?a m?t s?.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    int sum = 0;
    int temp = n < 0 ? -n : n;
    while (temp > 0) {
        sum += temp % 10;
        temp /= 10;
    }
    printf(""Tong cac chu so: %d\n"", sum);
    return 0;
}
"										
15	Tìm ??c chung l?n nh?t (GCD) và b?i chung nh? nh?t (LCM).	"#include <stdio.h>

int main() {
    int a, b, gcd, lcm;
    scanf(""%d %d"", &a, &b);
    int x = a, y = b;
    while (y != 0) {
        int temp = y;
        y = x % y;
        x = temp;
    }
    gcd = x;
    lcm = (a * b) / gcd;
    printf(""UCLN: %d\nBCNN: %d\n"", gcd, lcm);
    return 0;
}"										
16	Tìm s? Fibonacci th? n.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    long long a = 0, b = 1, c;
    for (int i = 2; i <= n; i++) {
        c = a + b;
        a = b;
        b = c;
    }
    printf(""S? Fibonacci th? %d: %lld\n"", n, b);
    return 0;
}"										
17	Tính c?n b?c hai g?n ?úng c?a m?t s? (không dùng sqrt).	"#include <stdio.h>

int main() {
    float n, guess = 1;
    scanf(""%f"", &n);
    for (int i = 0; i < 10; i++) {
        guess = (guess + n / guess) / 2;
    }
    printf(""C?n b?c hai c?a %.2f: %.2f\n"", n, guess);
    return 0;
}"										
18	Chuy?n ??i s? nguyên sang h? nh? phân (c? s? 2 - binary).	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""S? nh? phân: "");
    if (n == 0) {
        printf(""0"");
    } else {
        int binary[32], i = 0;
        while (n > 0) {
            binary[i++] = n % 2;
            n /= 2;
        }
        for (int j = i - 1; j >= 0; j--) {
            printf(""%d"", binary[j]);
        }
    }
    printf(""\n"");
    return 0;
}"										
19	Chuy?n ??i s? nguyên sang h? bát phân (c? s? 8 - octal).	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""S? bát phân: "");
    if (n == 0) {
        printf(""0"");
    } else {
        int octal[32], i = 0;
        while (n > 0) {
            octal[i++] = n % 8;
            n /= 8;
        }
        for (int j = i - 1; j >= 0; j--) {
            printf(""%d"", octal[j]);
        }
    }
    printf(""\n"");
    return 0;
}"										
20	Chuy?n ??i s? nguyên sang h? th?p l?c phân (c? s? 16 - hexadecimal).	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""S? th?p l?c phân: "");
    if (n == 0) {
        printf(""0"");
    } else {
        char hex[32];
        int i = 0;
        while (n > 0) {
            int rem = n % 16;
            if (rem < 10) {
                hex[i++] = rem + '0';
            } else {
                hex[i++] = rem - 10 + 'A';
            }
            n /= 16;
        }
        for (int j = i - 1; j >= 0; j--) {
            printf(""%c"", hex[j]);
        }
    }
    printf(""\n"");
    return 0;
}"										
21	Chuy?n ??i s? nguyên sang h? M (M là s? s? nguyên d??ng).	"#include <stdio.h>

int main() {
    int n, m;
    scanf(""%d %d"", &n, &m);
    printf(""S? %d trong h? %d: "", n, m);
    if (n == 0) {
        printf(""0"");
    } else {
        char digits[32];
        int i = 0;
        while (n > 0) {
            int rem = n % m;
            if (rem < 10) {
                digits[i++] = rem + '0';
            } else {
                digits[i++] = rem - 10 + 'A';
            }
            n /= m;
        }
        for (int j = i - 1; j >= 0; j--) {
            printf(""%c"", digits[j]);
        }
    }
    printf(""\n"");
    return 0;
}"										
22	Tìm s? nguyên t? th? n.	"#include <stdio.h>

int isPrime(int num) {
    if (num <= 1) return 0;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) return 0;
    }
    return 1;
}

int main() {
    int n, count = 0, num = 2;
    scanf(""%d"", &n);
    while (count < n) {
        if (isPrime(num)) {
            count++;
        }
        num++;
    }
    printf(""S? nguyên t? th? %d: %d\n"", n, num - 1);
    return 0;
}"										
23	Phân tích m?t s? nguyên thành tích các th?a s? nguyên t?.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""%d = "", n);
    for (int i = 2; i <= n; i++) {
        while (n % i == 0) {
            printf(""%d"", i);
            n /= i;
            if (n > 1) printf("" * "");
        }
    }
    printf(""\n"");
    return 0;
}"										
24	Gi?i ph??ng trình b?c hai: ax² + bx + c = 0.	"#include <stdio.h>
#include <math.h>

int main() {
    float a, b, c, delta;
    scanf(""%f %f %f"", &a, &b, &c);
    if (a == 0) {
        printf(""Ph??ng trình b?c nh?t.\n"");
    } else {
        delta = b * b - 4 * a * c;
        if (delta > 0) {
            float x1 = (-b + sqrt(delta)) / (2 * a);
            float x2 = (-b - sqrt(delta)) / (2 * a);
            printf(""Nghi?m: x1 = %.2f, x2 = %.2f\n"", x1, x2);
        } else if (delta == 0) {
            float x = -b / (2 * a);
            printf(""Nghi?m kép: x = %.2f\n"", x);
        } else {
            printf(""Ph??ng trình vô nghi?m.\n"");
        }
    }
    return 0;
}"										
25	Gi?i ph??ng trình b?c nh?t: ax + b = 0.	"#include <stdio.h>

int main() {
    float a, b;
    scanf(""%f %f"", &a, &b);
    if (a == 0) {
        printf(b == 0 ? ""Vô s? nghi?m.\n"" : ""Vô nghi?m.\n"");
    } else {
        printf(""Nghi?m: x = %.2f\n"", -b / a);
    }
    return 0;
}"										
26	"Nh?p hai s? nguyên, tính t?ng c?a chúng.  "	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d%d"", &a, &b);
    printf(""Tong: %d\n"", a + b);
    printf(""Hieu: %d\n"", a - b);
    printf(""Tich: %d\n"", a * b);
    if (b != 0)
        printf(""Thuong: %.2f\n"", (float)a / b);
    else
        printf(""Khong the chia cho 0\n"");
    return 0;
}
"										
27	"Nh?p hai s? nguyên, tính hi?u c?a s? th? nh?t và th? hai. "	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printf(""Hi?u: %d\n"", a - b);
    return 0;
}"										
28	"Nh?p hai s? nguyên, tính hi?u c?a s? th? hai và th? nh?t.  "	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printf(""Hi?u: %d\n"", b - a);
    return 0;
}"										
29	"Nh?p hai s? nguyên, tính tích c?a chúng.  "	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printf(""Tích: %d\n"", a * b);
    return 0;
}"										
30	"Nh?p hai s? nguyên, tính th??ng (k?t qu? chia th?c). "	"#include <stdio.h>

int main() {
    float a, b;
    scanf(""%f %f"", &a, &b);
    if (b != 0) {
        printf(""Th??ng: %.2f\n"", a / b);
    } else {
        printf(""Không th? chia cho 0.\n"");
    }
    return 0;
}"										
31	"Nh?p hai s? nguyên, tính th??ng (k?t qu? chia nguyên). "	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    if (b != 0) {
        printf(""Th??ng nguyên: %d\n"", a / b);
    } else {
        printf(""Không th? chia cho 0.\n"");
    }
    return 0;
}"										
32	"Nh?p hai s? th?c, tính th??ng (k?t qu? chia th?c).  "	"#include <stdio.h>

int main() {
    float a, b;
    scanf(""%f %f"", &a, &b);
    if (b != 0) {
        printf(""Th??ng: %.2f\n"", a / b);
    } else {
        printf(""Không th? chia cho 0.\n"");
    }
    return 0;
}"										
33	"Nh?p hai s? nguyên, tính ph?n d? c?a phép chia.  "	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    if (b != 0) {
        printf(""Ph?n d?: %d\n"", a % b);
    } else {
        printf(""Không th? chia cho 0.\n"");
    }
    return 0;
}"										
34	"Tính t?ng, hi?u, tích, th??ng c?a hai s? b?t k? (g?p 4 phép vào m?t bài).  "	"#include <stdio.h>

int main() {
    float a, b;
    scanf(""%f %f"", &a, &b);
    printf(""T?ng: %.2f\n"", a + b);
    printf(""Hi?u: %.2f\n"", a - b);
    printf(""Tích: %.2f\n"", a * b);
    if (b != 0) {
        printf(""Th??ng: %.2f\n"", a / b);
    } else {
        printf(""Không th? chia cho 0.\n"");
    }
    return 0;
}"										
35	Tính di?n tích hình ch? nh?t (dùng phép nhân).  	"#include <stdio.h>

int main() {
    float dai, rong;
    scanf(""%f %f"", &dai, &rong);
    printf(""Di?n tích: %.2f\n"", dai * rong);
    return 0;
}"										
36	Tính di?n tích hình tròn v?i bán kính r (dùng h?ng s? PI và phép nhân bình ph??ng).  	"#include <stdio.h>
#define PI 3.14159

int main() {
    float r;
    scanf(""%f"", &r);
    printf(""Di?n tích: %.2f\n"", PI * r * r);
    return 0;
}"										
37	"Nh?p 3 s?, tính t?ng và trung bình c?ng.  "	"#include <stdio.h>

int main() {
    float a, b, c;
    scanf(""%f %f %f"", &a, &b, &c);
    printf(""T?ng: %.2f\n"", a + b + c);
    printf(""Trung bình c?ng: %.2f\n"", (a + b + c) / 3);
    return 0;
}"										
38	Tính l?y th?a a^b (cho phép l?a ch?n: ch?n 1 s? dùng vòng l?p; ch?n 2 s? dùng hàm pow).  	"#include <stdio.h>
#include <math.h>

int main() {
    int a, b, choice;
    printf(""Ch?n ph??ng pháp (1: Vòng l?p, 2: Hàm pow): "");
    scanf(""%d"", &choice);
    scanf(""%d %d"", &a, &b);
    if (choice == 1) {
        long long result = 1;
        for (int i = 0; i < b; i++) {
            result *= a;
        }
        printf(""%d^%d = %lld\n"", a, b, result);
    } else if (choice == 2) {
        printf(""%d^%d = %.2f\n"", a, b, pow(a, b));
    } else {
        printf(""L?a ch?n không h?p l?.\n"");
    }
    return 0;
}"										
39	Tính t?ng các s? t? 1 ??n n (dùng công th?c s? h?c).  	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""T?ng: %d\n"", n * (n + 1) / 2);
    return 0;
}"										
40	Tính hi?u c?a t?ng các s? ch?n và t?ng các s? l? t? 1 ??n n.  	"#include <stdio.h>

int main() {
    int n, sumEven = 0, sumOdd = 0;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        if (i % 2 == 0) {
            sumEven += i;
        } else {
            sumOdd += i;
        }
    }
    printf(""Hi?u: %d\n"", sumEven - sumOdd);
    return 0;
}"										
41	Vi?t ch??ng trình th?c hi?n phép chia có ki?m tra chia cho 0.  	"#include <stdio.h>

int main() {
    float a, b;
    scanf(""%f %f"", &a, &b);
    if (b != 0) {
        printf(""Th??ng: %.2f\n"", a / b);
    } else {
        printf(""Không th? chia cho 0.\n"");
    }
    return 0;
}"										
42	"Nh?p ba s?, tìm t?ng c?a hai s? l?n nh?t.  "	"#include <stdio.h>

int main() {
    float a, b, c;
    scanf(""%f %f %f"", &a, &b, &c);
    float max1 = a, max2 = b;
    if (b > max1) {
        max1 = b;
        max2 = a;
    }
    if (c > max1) {
        max2 = max1;
        max1 = c;
    } else if (c > max2) {
        max2 = c;
    }
    printf(""T?ng hai s? l?n nh?t: %.2f\n"", max1 + max2);
    return 0;
}"										
43	"Tính giá tr? bi?u th?c: ch?n 1, tính (a + b)^2 ch?n 2 tính (a - b)^2.  "	"#include <stdio.h>

int main() {
    int a, b, choice;
    printf(""Ch?n ph??ng pháp (1: (a+b)^2, 2: (a-b)^2): "");
    scanf(""%d"", &choice);
    scanf(""%d %d"", &a, &b);
    if (choice == 1) {
        printf(""(a+b)^2 = %d\n"", (a + b) * (a + b));
    } else if (choice == 2) {
        printf(""(a-b)^2 = %d\n"", (a - b) * (a - b));
    } else {
        printf(""L?a ch?n không h?p l?.\n"");
    }
    return 0;
}"										
44	Tính giá tr? bi?u th?c: a^2 + b^2 + 2ab.  	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printf(""a^2 + b^2 + 2ab = %d\n"", a * a + b * b + 2 * a * b);
    return 0;
}"										
45	"Nh?p vào hai s? nguyên, hoán ??i giá tr? c?a chúng không dùng bi?n t?m (dùng phép toán).  "	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    a = a + b;
    b = a - b;
    a = a - b;
    printf(""Sau hoán ??i: a = %d, b = %d\n"", a, b);
    return 0;
}"										
46	Tính giá tr? tuy?t ??i c?a m?t s? (dùng ?i?u ki?n và toán t?).  	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""Giá tr? tuy?t ??i: %d\n"", n < 0 ? -n : n);
    return 0;
}"										
47	"Nh?p gi?, phút, giây ? tính t?ng s? giây.  "	"#include <stdio.h>

int main() {
    int h, m, s;
    scanf(""%d %d %d"", &h, &m, &s);
    printf(""T?ng s? giây: %d\n"", h * 3600 + m * 60 + s);
    return 0;
}"										
48	"Nh?p t?ng s? giây ? tính ra gi?, phút, giây (dùng chia nguyên và chia d?)."	"#include <stdio.h>

int main() {
    int totalSeconds;
    scanf(""%d"", &totalSeconds);
    int h = totalSeconds / 3600;
    int m = (totalSeconds % 3600) / 60;
    int s = totalSeconds % 60;
    printf(""%02d:%02d:%02d\n"", h, m, s);
    return 0;
}"										
49	"Nh?p m?t s? nguyên, ki?m tra s? ?ó là s? d??ng, âm hay b?ng 0."	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    if (n > 0) {
        printf(""S? d??ng.\n"");
    } else if (n < 0) {
        printf(""S? âm.\n"");
    } else {
        printf(""S? b?ng 0.\n"");
    }
    return 0;
}"										
50	"Nh?p m?t s?, ki?m tra s? ?ó là ch?n hay l?."	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(n % 2 == 0 ? ""S? ch?n.\n"" : ""S? l?.\n"");
    return 0;
}"										
51	"Nh?p 3 s? nguyên, tìm s? l?n nh?t."	"#include <stdio.h>

int main() {
    int a, b, c;
    scanf(""%d %d %d"", &a, &b, &c);
    int max = a;
    if (b > max) max = b;
    if (c > max) max = c;
    printf(""S? l?n nh?t: %d\n"", max);
    return 0;
}"										
52	"Nh?p 3 s?, ki?m tra chúng có ph?i là các c?nh c?a m?t tam giác không."	"#include <stdio.h>

int main() {
    float a, b, c;
    scanf(""%f %f %f"", &a, &b, &c);
    if (a + b > c && a + c > b && b + c > a) {
        printf(""Là c?nh c?a tam giác.\n"");
    } else {
        printf(""Không ph?i là c?nh c?a tam giác.\n"");
    }
    return 0;
}"										
53	"Nh?p m?t ký t?, ki?m tra ký t? ?ó là nguyên âm hay ph? âm (s? d?ng b?ng ch? cái ti?ng Anh)."	"#include <stdio.h>

int main() {
    char c;
    scanf("" %c"", &c);
    if (c == 'a' || c == 'e' || c == 'i' || c == 'o' || c == 'u' ||
        c == 'A' || c == 'E' || c == 'I' || c == 'O' || c == 'U') {
        printf(""Nguyên âm.\n"");
    } else {
        printf(""Ph? âm.\n"");
    }
    return 0;
}"										
54	Ki?m tra n?m nh?p vào có ph?i n?m nhu?n không.	"#include <stdio.h>

int main() {
    int year;
    scanf(""%d"", &year);
    if ((year % 4 == 0 && year % 100 != 0) || year % 400 == 0) {
        printf(""N?m nhu?n.\n"");
    } else {
        printf(""Không ph?i n?m nhu?n.\n"");
    }
    return 0;
}"										
55	"Nh?p ?i?m ki?m tra, in ra x?p lo?i (Gi?i, Khá, Trung bình, Y?u...: d?a trên ?ánh giá h? ?i?m Trung h?c Ph? thông hi?n hành)."	"#include <stdio.h>

int main() {
    float score;
    scanf(""%f"", &score);
    if (score >= 8.5) {
        printf(""Gi?i\n"");
    } else if (score >= 6.5) {
        printf(""Khá\n"");
    } else if (score >= 5.0) {
        printf(""Trung bình\n"");
    } else {
        printf(""Y?u\n"");
    }
    return 0;
}"										
